def,use
def://app/src/main/res/layout/activity_view_pager2.xml[language=FILE]//RelativeLayout/androidx.viewpager2.widget.ViewPager2/android:id[language=XML]//@+id\\/view_pager2[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/ViewPager2Activity.java[language=FILE]//ViewPager2Activity/onCreate/binding.viewPager2[language=JAVA]
def://app/src/main/res/layout/activity_main.xml[language=FILE]//ScrollView/LinearLayout/Button/android:id[language=XML]//@+id\\/list_detail_list[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/MainActivity.java[language=FILE]//MainActivity/onClick/R.id.list_detail_list[language=JAVA]
def://app/src/main/res/layout/activity_detail_filter.xml[language=FILE]//RelativeLayout/com.example.gsyvideoplayer.video.SampleControlVideo/android:id[language=XML]//@+id\\/detail_player[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/DetailFilterActivity.java[language=FILE]//DetailFilterActivity/resolveNormalVideoUI/binding.detailPlayer[language=JAVA]
def://app/src/main/res/layout/video_layout_cover.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/layout_bottom[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/init/findViewById/R.id.layout_bottom[language=JAVA]
def://app/src/main/res/layout/audio_layout_cover.xml[language=FILE]//RelativeLayout/ProgressBar/android:id[language=XML]//@+id\\/bottom_progressbar[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/init/findViewById/R.id.bottom_progressbar[language=JAVA]
def://app/src/main/res/layout/layout_floating_video.xml[language=FILE]//RelativeLayout/FrameLayout/android:id[language=XML]//@+id\\/surface_container[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/onClick/R.id.surface_container[language=JAVA]
def://app/src/main/res/layout/activity_simple.xml[language=FILE]//ScrollView/LinearLayout/Button/android:id[language=XML]//@+id\\/simple_detail_2[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/simple/SimpleActivity.java[language=FILE]//SimpleActivity/onClick/R.id.simple_detail_2[language=JAVA]
def://app/src/main/res/layout/video_layout_subtitle.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/layout_top[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/init/findViewById/R.id.layout_top[language=JAVA]
def://app/src/main/res/layout/video_layout_subtitle.xml[language=FILE]//RelativeLayout/ImageView/android:id[language=XML]//@+id\\/small_close[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYBaseVideoPlayer.java[language=FILE]//GSYBaseVideoPlayer/init/findViewById/R.id.small_close[language=JAVA]
def://app/src/main/res/layout/activity_main.xml[language=FILE]//ScrollView/LinearLayout/Button/android:id[language=XML]//@+id\\/open_simple[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/MainActivity.java[language=FILE]//MainActivity/onCreate/binding.openSimple[language=JAVA]
