XML,JAVA
def://NewPipe/app/src/main/res/layout/toolbar_layout.xml//LinearLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java//R.id.toolbar
def://NewPipe/app/src/main/res/layout/missions.xml//LinearLayout/include/android:id//@+id\/list_empty_view,use://NewPipe/app/src/main/java/us/shandian/giga/ui/fragment/MissionsFragment.java//R.id.list_empty_view
def://NewPipe/app/src/main/res/layout/missions.xml//LinearLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/mission_recycler,use://NewPipe/app/src/main/java/us/shandian/giga/ui/fragment/MissionsFragment.java//R.id.mission_recycler
def://NewPipe/app/src/main/res/layout/fragment_subscription.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/fragment_subscription.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/BaseListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/fragment_subscription.xml//RelativeLayout/include/android:id//@+id\/empty_state_view,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java//R.id.empty_state_view
def://NewPipe/app/src/main/res/layout/select_kiosk_fragment.xml//LinearLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/select_kiosk_fragment.xml//LinearLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/BaseListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/select_kiosk_fragment.xml//LinearLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/SelectKioskFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/android:id//@+id\/itemRoot,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/ImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/ImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalStatisticStreamItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemDurationView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemDurationView
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemDurationView,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalStatisticStreamItemHolder.java//R.id.itemDurationView
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemVideoTitleView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemVideoTitleView
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemVideoTitleView,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalStatisticStreamItemHolder.java//R.id.itemVideoTitleView
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemUploaderView,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalStatisticStreamItemHolder.java//R.id.itemUploaderView
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemAdditionalDetails,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemAdditionalDetails
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemAdditionalDetails,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalStatisticStreamItemHolder.java//R.id.itemAdditionalDetails
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemAdditionalDetails,use://NewPipe/app/src/main/java/org/schabi/newpipe/info_list/holder/StreamInfoItemHolder.java//R.id.itemAdditionalDetails
def://NewPipe/app/src/main/res/layout/list_stream_item.xml//androidx.constraintlayout.widget.ConstraintLayout/org.schabi.newpipe.views.AnimatedProgressBar/android:id//@+id\/itemProgressView,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalStatisticStreamItemHolder.java//R.id.itemProgressView
def://NewPipe/app/src/main/res/layout/dialog_title.xml//RelativeLayout/android:id//@+id\/itemRoot,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot
def://NewPipe/app/src/main/res/layout/dialog_title.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView,use://NewPipe/app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView
def://NewPipe/app/src/main/res/layout/dialog_title.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemAdditionalDetails
def://NewPipe/app/src/main/res/layout/dialog_title.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails,use://NewPipe/app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemAdditionalDetails
def://NewPipe/app/src/main/res/layout/list_stream_grid_item.xml//androidx.constraintlayout.widget.ConstraintLayout/android:id//@+id\/itemRoot,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot
def://NewPipe/app/src/main/res/layout/list_stream_grid_item.xml//androidx.constraintlayout.widget.ConstraintLayout/ImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/list_stream_grid_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemDurationView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemDurationView
def://NewPipe/app/src/main/res/layout/list_stream_grid_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemVideoTitleView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemVideoTitleView
def://NewPipe/app/src/main/res/layout/list_stream_grid_item.xml//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id//@+id\/itemAdditionalDetails,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemAdditionalDetails
def://NewPipe/app/src/main/res/layout/fragment_related_items.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list
