def,use
"def://src/main/java/ltd/newbee/mall/entity/Carousel.java[language=FILE]//Carousel/createUser[varType=Integer,language=JAVA]","use://src/main/resources/mapper/CarouselMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.Carousel,language=XML,queryId=insertSelective]//Insert/#{createUser\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/IndexConfig.java[language=FILE]//IndexConfig/configId[varType=Long,language=JAVA]","use://src/main/resources/mapper/IndexConfigMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.IndexConfig,language=XML,queryId=updateByPrimaryKey]//Update/Where/=/#{configId\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/IndexConfig.java[language=FILE]//IndexConfig/updateTime[varType=Date,language=JAVA]","use://src/main/resources/mapper/IndexConfigMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.IndexConfig,language=XML,queryId=updateByPrimaryKey]//Update/#{updateTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/Carousel.java[language=FILE]//Carousel/updateUser[varType=Integer,language=JAVA]","use://src/main/resources/mapper/CarouselMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.Carousel,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{updateUser\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallOrder.java[language=FILE]//NewBeeMallOrder/payStatus[varType=Byte,language=JAVA]","use://src/main/resources/mapper/NewBeeMallOrderMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.NewBeeMallOrder,keyProperty=orderId,language=XML,queryId=insertSelective,useGeneratedKeys=true]//Insert/#{payStatus\,jdbcType=TINYINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/GoodsCategory.java[language=FILE]//GoodsCategory/createTime[varType=Date,language=JAVA]","use://src/main/resources/mapper/GoodsCategoryMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.GoodsCategory,language=XML,queryId=updateByPrimaryKey]//Update/#{createTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/IndexConfig.java[language=FILE]//IndexConfig/redirectUrl[varType=String,language=JAVA]","use://src/main/resources/mapper/IndexConfigMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.IndexConfig,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{redirectUrl\,jdbcType=VARCHAR}[language=SQL]"
def://src/main/java/ltd/newbee/mall/dao/IndexConfigMapper.java[language=FILE]//IndexConfigMapper/selectByTypeAndGoodsId/goodsId/@Param[language=JAVA]//goodsId[language=ANY],"use://src/main/resources/mapper/IndexConfigMapper.xml[language=FILE]//mapper/select[resultMap=BaseResultMap,language=XML,queryId=selectByTypeAndGoodsId]//Select/Where/=/#{goodsId\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/GoodsCategory.java[language=FILE]//GoodsCategory/updateTime[varType=Date,language=JAVA]","use://src/main/resources/mapper/GoodsCategoryMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.GoodsCategory,language=XML,queryId=insertSelective]//Insert/#{updateTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallGoods.java[language=FILE]//NewBeeMallGoods/createUser[varType=Integer,language=JAVA]","use://src/main/resources/mapper/NewBeeMallGoodsMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.NewBeeMallGoods,language=XML,queryId=insert]//Insert/#{createUser\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallOrder.java[language=FILE]//NewBeeMallOrder/updateTime[varType=Date,language=JAVA]","use://src/main/resources/mapper/NewBeeMallOrderMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.NewBeeMallOrder,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{updateTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/GoodsCategory.java[language=FILE]//GoodsCategory/updateTime[varType=Date,language=JAVA]","use://src/main/resources/mapper/GoodsCategoryMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.GoodsCategory,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{updateTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/Carousel.java[language=FILE]//Carousel/updateTime[varType=Date,language=JAVA]","use://src/main/resources/mapper/CarouselMapper.xml[language=FILE]//mapper/update[parameterType=ltd.newbee.mall.entity.Carousel,language=XML,queryId=updateByPrimaryKey]//Update/#{updateTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/Carousel.java[language=FILE]//Carousel/carouselId[varType=Integer,language=JAVA]","use://src/main/resources/mapper/CarouselMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.Carousel,language=XML,queryId=insert]//Insert/#{carouselId\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/ltd/newbee/mall/entity/NewBeeMallGoods.java[language=FILE]//NewBeeMallGoods/goodsCarousel[varType=String,language=JAVA]","use://src/main/resources/mapper/NewBeeMallGoodsMapper.xml[language=FILE]//mapper/insert[parameterType=ltd.newbee.mall.entity.NewBeeMallGoods,language=XML,queryId=insert]//Insert/#{goodsCarousel\,jdbcType=VARCHAR}[language=SQL]"
