def,use
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDepartMapper.java[language=FILE]//SysDepartMapper/queryTreeListByPid/parentId/@Param[language=JAVA]//parentId[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysDepartMapper.xml[language=FILE]//mapper/select[parameterType=Object,language=XML,resultType=org.jeecg.modules.system.entity.SysDepart,queryId=queryTreeListByPid]//Select/Where/=/#{parentId\,jdbcType=VARCHAR}[language=SQL]"
"def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/entity/SysPermission.java[language=FILE]//SysPermission/url[varType=String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysPermissionMapper.xml[language=FILE]//mapper/select[parameterType=Object,language=XML,resultType=int,queryId=queryCountByUsername]//Select/Where/=/#{permission.url}[language=SQL]"
"def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/entity/SysUser.java[language=FILE]//SysUser/orgCode[varType=String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysUserDepartMapper.xml[language=FILE]//mapper/select[language=XML,resultType=org.jeecg.modules.system.entity.SysUser,queryId=queryDepartUserPageList]//Select/org_code[language=SQL]"
"def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/entity/SysDepartRole.java[language=FILE]//SysDepartRole/id[varType=java.lang.String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysDepartRoleMapper.xml[language=FILE]//mapper/select[language=XML,resultType=org.jeecg.modules.system.entity.SysDepartRole,queryId=queryDeptRoleByDeptAndUser]//Select/Where/id[language=SQL]"
def://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/dao/XxlJobLogReportDao.java[language=FILE]//XxlJobLogReportDao/queryLogReport/triggerDayTo/@Param[language=JAVA]//triggerDayTo[language=ANY],"use://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/resources/mybatis-mapper/XxlJobLogReportMapper.xml[language=FILE]//mapper/select[resultMap=XxlJobLogReport,language=XML,queryId=queryLogReport]//Select/#{triggerDayTo}[language=SQL]"
"def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/model/DuplicateCheckVo.java[language=FILE]//DuplicateCheckVo/fieldVal[varType=String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=org.jeecg.modules.system.model.DuplicateCheckVo,language=XML,resultType=Long,queryId=duplicateCheckCountSqlNoDataId]//Select/Where/=/#{fieldVal}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDictMapper.java[language=FILE]//SysDictMapper/queryEnableDictItemsByCode/code/@Param[language=JAVA]//code[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=String,language=XML,resultType=org.jeecg.common.system.vo.DictModel,queryId=queryEnableDictItemsByCode]//Select/Where/=/Where/=/#{code}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysPermissionMapper.java[language=FILE]//SysPermissionMapper/queryListByParentId/parentId/@Param[language=JAVA]//parentId[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysPermissionMapper.xml[language=FILE]//mapper/select[parameterType=Object,resultMap=TreeModel,language=XML,queryId=queryListByParentId]//Select/Where/=/#{parentId\,jdbcType=VARCHAR}[language=SQL]"
"def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/model/SysUserSysDepartModel.java[language=FILE]//SysUserSysDepartModel/post[varType=String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysUserMapper.xml[language=FILE]//mapper/select[language=XML,resultType=org.jeecg.modules.system.model.SysUserSysDepartModel,queryId=getUserByOrgCode]//Select/post[language=SQL]"
"def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/entity/SysThirdAccount.java[language=FILE]//SysThirdAccount/thirdType[varType=java.lang.String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysThirdAccountMapper.xml[language=FILE]//mapper/select[language=XML,resultType=org.jeecg.modules.system.entity.SysThirdAccount,queryId=selectThirdIdsByUsername]//Select/Where/=/third_type[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysPermissionMapper.java[language=FILE]//SysPermissionMapper/queryByUser/username/@Param[language=JAVA]//username[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysPermissionMapper.xml[language=FILE]//mapper/select[parameterType=Object,resultMap=SysPermission,language=XML,queryId=queryByUser]//Select/Where/=/#{username\,jdbcType=VARCHAR}[language=SQL]"
