JAVA,XML
use://app/src/main/java/org/schabi/newpipe/about/AboutActivity.java//R.id.toolbar,def://app/src/main/res/layout-land/activity_player_queue_control.xml//RelativeLayout/com.google.android.material.appbar.AppBarLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar
use://app/src/main/java/org/schabi/newpipe/about/AboutActivity.java//R.id.toolbar,def://app/src/main/res/layout/activity_player_queue_control.xml//RelativeLayout/com.google.android.material.appbar.AppBarLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar
use://app/src/main/java/org/schabi/newpipe/fragments/MainFragment.java//R.id.pager,def://app/src/main/res/layout/fragment_main.xml//RelativeLayout/androidx.viewpager.widget.ViewPager/android:id//@+id\/pager
use://app/src/main/java/org/schabi/newpipe/local/dialog/PlaylistCreationDialog.java//R.id.playlist_name,def://app/src/main/res/layout/dialog_playlist_name.xml//RelativeLayout/EditText/android:id//@+id\/playlist_name
use://app/src/main/java/org/schabi/newpipe/player/MainVideoPlayer.java//R.id.toggleOrientation,def://app/src/main/res/layout-large-land/activity_main_player.xml//RelativeLayout/RelativeLayout/RelativeLayout/RelativeLayout/ImageButton/android:id//@+id\/toggleOrientation
use://app/src/main/java/org/schabi/newpipe/player/MainVideoPlayer.java//R.id.toggleOrientation,def://app/src/main/res/menu/menu_videooptions.xml//menu/item/android:id//@+id\/toggleOrientation
use://app/src/main/java/org/schabi/newpipe/player/MainVideoPlayer.java//R.id.toggleOrientation,def://app/src/main/res/layout/activity_main_player.xml//RelativeLayout/RelativeLayout/RelativeLayout/RelativeLayout/ImageButton/android:id//@+id\/toggleOrientation
use://app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java//R.id.queue,def://app/src/main/res/menu/mission.xml//menu/item/android:id//@+id\/queue
use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java//R.id.detail_upload_date_view,def://app/src/main/res/layout-large-land/fragment_video_detail.xml//LinearLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/LinearLayout/LinearLayout/TextView/android:id//@+id\/detail_upload_date_view
use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java//R.id.detail_upload_date_view,def://app/src/main/res/layout/fragment_video_detail.xml//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/LinearLayout/LinearLayout/TextView/android:id//@+id\/detail_upload_date_view
