def,use
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/createPost/model.addAttribute[language=JAVA]//formats[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/new.html[language=FILE]//html/body/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${formats}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/newProject/model.addAttribute[language=JAVA]//project[language=ANY],use://sagan-site/src/main/resources/templates/admin/project/new.html[language=FILE]//html/body/div/form/data-th-object[language=HTML]//${project}[language=ANY]
def://sagan-site/src/main/resources/templates/events/list.html[language=FILE],def://sagan-site/src/main/java/sagan/site/events/EventsController.java[language=FILE]//EventsController/events/return[language=JAVA]//events\\/list[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/showPost/model.addAttribute[language=JAVA]//post[language=ANY],use://sagan-site/src/main/resources/templates/blog/show.html[language=FILE]//html/body/div/data-th-object[language=HTML]//${post}[language=ANY]
def://sagan-site/src/main/resources/templates/team/show.html[language=FILE],def://sagan-site/src/main/java/sagan/site/team/support/TeamController.java[language=FILE]//TeamController/showProfile/return[language=JAVA]//team\\/show[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/newPost/model.addAttribute[language=JAVA]//formats[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/new.html[language=FILE]//html/body/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${formats}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/project/edit-metadata.html[language=FILE],def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editMetadata/return[language=JAVA]//admin\\/project\\/edit-metadata[language=ANY]
def://sagan-site/src/main/resources/templates/admin/tools/edit.html[language=FILE],def://sagan-site/src/main/java/sagan/site/tools/support/SpringToolsAdminController.java[language=FILE]//SpringToolsAdminController/edit/return[language=JAVA]//admin\\/tools\\/edit[language=ANY]
def://sagan-site/src/main/java/sagan/site/team/support/TeamAdminController.java[language=FILE]//TeamAdminController/editTeamMemberForm/model.addAttribute[language=JAVA]//profile[language=ANY],use://sagan-site/src/main/resources/templates/admin/team/edit.html[language=FILE]//html/body/form/data-th-object[language=HTML]//${profile}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/project/edit-samples.html[language=FILE],def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editSamples/return[language=JAVA]//admin\\/project\\/edit-samples[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java[language=FILE]//ProjectsController/showProject/model.addAttribute[language=JAVA]//otherReleases[language=ANY],use://sagan-site/src/main/resources/templates/projects/show.html[language=FILE]//html/body/div/div/div/article/div/div/div/div/div/table/tbody/tr/data-th-each[language=HTML]//${otherReleases}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/editPost/model.addAttribute[language=JAVA]//formats[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/edit.html[language=FILE]//html/body/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${formats}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/blog/new.html[language=FILE],def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/newPost/return[language=JAVA]//admin\\/blog\\/new[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java[language=FILE]//ProjectsController/showProject/model.addAttribute[language=JAVA]//tutorials[language=ANY],use://sagan-site/src/main/resources/templates/projects/show.html[language=FILE]//html/body/div/div/div/article/div/div/div/div/div/ul/li/data-th-each[language=HTML]//${tutorials}[language=ANY]
def://sagan-site/src/main/java/sagan/site/learn/LearnController.java[language=FILE]//LearnController/learn/model.addAttribute[language=JAVA]//newestPost[language=ANY],use://sagan-site/src/main/resources/templates/learn/index.html[language=FILE]//html/body/div/div/div/section/section/data-th-if[language=HTML]//${newestPost}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java[language=FILE]//ProjectsController/listProjects/model.addAttribute[language=JAVA]//featured[language=ANY],use://sagan-site/src/main/resources/templates/projects/index.html[language=FILE]//html/body/div/div/div/section/data-th-each[language=HTML]//${featured}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editMetadata/model.addAttribute[language=JAVA]//project[language=ANY],use://sagan-site/src/main/resources/templates/admin/project/edit-metadata.html[language=FILE]//html/body/div/form/data-th-object[language=HTML]//${project}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/createPost/model.addAttribute[language=JAVA]//postForm[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/new.html[language=FILE]//html/body/form/data-th-object[language=HTML]//${postForm}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/editPost/model.addAttribute[language=JAVA]//timezone[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/edit.html[language=FILE]//html/body/form/div/div/div/label/data-th-text[language=HTML]//${timezone}[language=ANY]
def://sagan-site/src/main/java/sagan/site/guides/GuideIndexController.java[language=FILE]//GuideIndexController/viewIndex/model.addAttribute[language=JAVA]//tutorials[language=ANY],use://sagan-site/src/main/resources/templates/guides/index.html[language=FILE]//html/body/div/div/section/div/section/div/data-th-each[language=HTML]//${tutorials}[language=ANY]
def://sagan-site/src/main/java/sagan/site/guides/GuideIndexController.java[language=FILE]//GuideIndexController/viewIndex/model.addAttribute[language=JAVA]//topicals[language=ANY],use://sagan-site/src/main/resources/templates/guides/index.html[language=FILE]//html/body/div/div/section/div/section/div/data-th-each[language=HTML]//${topicals}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editInfo/model.addAttribute[language=JAVA]//project[language=ANY],use://sagan-site/src/main/resources/templates/admin/project/edit-info.html[language=FILE]//html/body/form/data-th-object[language=HTML]//${project}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/blog/edit.html[language=FILE],def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/editPost/return[language=JAVA]//admin\\/blog\\/edit[language=ANY]
def://sagan-site/src/main/resources/templates/admin/team/edit.html[language=FILE],def://sagan-site/src/main/java/sagan/site/team/support/TeamAdminController.java[language=FILE]//TeamAdminController/editTeamMemberForm/return[language=JAVA]//admin\\/team\\/edit[language=ANY]
def://sagan-site/src/main/java/sagan/site/team/support/TeamAdminController.java[language=FILE]//TeamAdminController/editProfileForm/model.addAttribute[language=JAVA]//profile[language=ANY],use://sagan-site/src/main/resources/templates/admin/team/edit.html[language=FILE]//html/body/form/data-th-object[language=HTML]//${profile}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/dashboard/model.addAttribute[language=JAVA]//posts[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/index.html[language=FILE]//html/body/div/div/table/tbody/tr/data-th-each[language=HTML]//${posts}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java[language=FILE]//BlogController/renderListOfPosts/model.addAttribute[language=JAVA]//posts[language=ANY],use://sagan-site/src/main/resources/templates/blog/index.html[language=FILE]//html/body/div/main/div/div/div/div/article/data-th-each[language=HTML]//${posts}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java[language=FILE]//ProjectsController/showProject/model.addAttribute[language=JAVA]//projects[language=ANY],use://sagan-site/src/main/resources/templates/projects/show.html[language=FILE]//html/body/div/div/div/div/ul/li/data-th-each[language=HTML]//${projects}[language=ANY]
def://sagan-site/src/main/resources/templates/guides/gs/guide.html[language=FILE],def://sagan-site/src/main/java/sagan/site/guides/TutorialController.java[language=FILE]//TutorialController/viewTutorial/return[language=JAVA]//guides\\/gs\\/guide[language=ANY]
def://sagan-site/src/main/java/sagan/site/guides/TutorialController.java[language=FILE]//TutorialController/viewTutorial/model.addAttribute[language=JAVA]//description[language=ANY],use://sagan-site/src/main/resources/templates/guides/gs/guide.html[language=FILE]//html/head/meta/data-th-content[language=HTML]//${description}[language=ANY]
