use,def
def://xbin-store-web-portal/src/main/java/cn/binux/portal/controller/IndexController.java[language=FILE]//IndexController/index/return[language=JAVA]//index[language=ANY],def://xbin-store-web-portal/target/classes/templates/error/index.html[language=FILE]
def://xbin-store-web-order/src/main/java/cn/binux/order/controller/OrderController.java[language=FILE]//OrderController/showOrder/return[language=JAVA]//order[language=ANY],def://xbin-store-web-order/src/main/resources/templates/order.html[language=FILE]
def://xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java[language=FILE]//AdminController/showCategory/return[language=JAVA]//category[language=ANY],def://xbin-store-web-admin/src/main/resources/templates/category.html[language=FILE]
use://xbin-store-web-admin/src/main/resources/templates/twoCategory.html[language=FILE]//html/body/section/div/div/div/div/table/id[language=HTML]//${random}[language=ANY],def://xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java[language=FILE]//AdminController/showTwoCategory/model.addAttribute[language=JAVA]//random[language=ANY]
def://xbin-store-web-admin/src/main/java/cn/binux/admin/controller/HelloController.java[language=FILE]//HelloController/index/return[language=JAVA]//index[language=ANY],def://xbin-store-web-admin/target/classes/static/plugins/datatables/extensions/ColVis/examples/index.html[language=FILE]
def://xbin-store-web-sso/src/main/java/cn/binux/sso/controller/UserController.java[language=FILE]//UserController/showLogin/return[language=JAVA]//login[language=ANY],def://xbin-store-web-admin/src/main/resources/static/include/examples/login.html[language=FILE]
def://xbin-store-web-cart/src/main/java/cn/binux/cart/controller/CartController.java[language=FILE]//CartController/addCart/return[language=JAVA]//success[language=ANY],def://xbin-store-web-sso/target/classes/templates/success.html[language=FILE]
use://xbin-store-web-search/target/classes/templates/search.html[language=FILE]//html/body/div/div/div/div/div/div/a/href[language=HTML]//${query}[language=ANY],def://xbin-store-web-search/src/main/java/cn/binux/search/controller/SearchController.java[language=FILE]//SearchController/search22/model.addAttribute[language=JAVA]//query[language=ANY]
def://xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java[language=FILE]//AdminController/showIndex/return[language=JAVA]//index[language=ANY],def://xbin-store-web-admin/src/main/resources/static/plugins/datatables/extensions/Responsive/examples/initialisation/index.html[language=FILE]
use://xbin-store-web-cart/src/main/resources/templates/cart.html[language=FILE]//html/body/div/div/div/div/div/div/div/div/div/div/div/div/span/em/value[language=HTML]//${totalPrice}[language=ANY],def://xbin-store-web-cart/src/main/java/cn/binux/cart/controller/CartController.java[language=FILE]//CartController/showCart/model.addAttribute[language=JAVA]//totalPrice[language=ANY]
def://xbin-store-web-portal/src/main/java/cn/binux/portal/controller/IndexController.java[language=FILE]//IndexController/index/return[language=JAVA]//index[language=ANY],def://xbin-store-web-admin/target/classes/static/documentation/build/index.html[language=FILE]
def://xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java[language=FILE]//AdminController/showIndex/return[language=JAVA]//index[language=ANY],def://xbin-store-web-admin/target/classes/static/pages/index.html[language=FILE]
def://xbin-store-web-order/src/main/java/cn/binux/order/controller/OrderController.java[language=FILE]//OrderController/showSuccess/return[language=JAVA]//success[language=ANY],def://xbin-store-web-order/src/main/resources/templates/success.html[language=FILE]
use://xbin-store-web-admin/target/classes/templates/category.html[language=FILE]//html/body/section/div/div/div/div/table/id[language=HTML]//${random}[language=ANY],def://xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java[language=FILE]//AdminController/showCategory/model.addAttribute[language=JAVA]//random[language=ANY]
