use,def
def://src/main/java/org/jeecgframework/web/system/controller/core/SystemController.java[]//goTypeGrid/return/ModelAndView[]//system\/type\/typeListForTypegroup[],def://src/main/webapp/webpage/system/type/typeListForTypegroup.jsp[]
use://src/main/webapp/webpage/system/organzation/noCurDepartUserList.jsp[]//html/body/div/div/t:datagrid/actionurl[]//${orgId}[],def://src/main/java/org/jeecgframework/web/system/controller/core/OrganzationController.java[]//goAddUserToOrg/req.setAttribute[]//orgId[]
def://src/main/java/org/jeecgframework/web/cgdynamgraph/controller/CgDynamGraphConfigHeadController.java[]//goAdd/return/ModelAndView[]//jeecg\/cgdynamgraph\/core\/cgDynamGraphConfigHead-add[],def://src/main/webapp/webpage/jeecg/cgdynamgraph/core/cgDynamGraphConfigHead-add.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/DepartController.java[]//departSelect/return[]//system\/depart\/departSelect[],def://src/main/webapp/webpage/system/depart/departSelect.jsp[]
use://src/main/webapp/webpage/system/dataRule/ruleDataList.jsp[]//html/body/t:datagrid/t:dgtoolbar/url[]//${functionId}[],def://src/main/java/org/jeecgframework/web/system/controller/core/FunctionController.java[]//operationData/request.setAttribute[]//functionId[]
use://src/main/webapp/webpage/system/dataRule/ruleData.jsp[]//html/body/t:formvalid/fieldset/input/value[]//${functionId}[],def://src/main/java/org/jeecgframework/web/system/controller/core/FunctionController.java[]//addorupdaterule/req.setAttribute[]//functionId[]
def://src/main/java/org/jeecgframework/web/system/controller/core/DynamicDataSourceController.java[]//addorupdate/return/ModelAndView[]//system\/dbsource\/dbSource[],def://src/main/webapp/webpage/system/dbsource/dbSource.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//goBootStrapTableAdd/return/ModelAndView[]//com\/jeecg\/demo\/jeecgDemo-bootstrap-add[],def://src/main/webapp/webpage/com/jeecg/demo/jeecgDemo-bootstrap-add.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/DepartAuthGroupController.java[]//operationListForFunction/return/ModelAndView[]//system\/authGroup\/operationListForFunction[],def://src/main/webapp/webpage/system/authGroup/operationListForFunction.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//goUpdate/return/ModelAndView[]//com\/jeecg\/demo\/jeecgDemo-update[],def://src/main/webapp/webpage/com/jeecg/demo/jeecgDemo-update.jsp[]
def://src/main/java/com/jeecg/demo/controller/JformOrderMainController.java[]//list/return/ModelAndView[]//com\/jeecg\/demo\/orderOne2Many\/jformOrderMainList[],def://src/main/webapp/webpage/com/jeecg/demo/orderOne2Many/jformOrderMainList.jsp[]
use://src/main/webapp/webpage/system/notice/tSNotice-update.jsp[]//html/body/t:formvalid/table/tbody/tr/td/span/input/value[]//${rolesName }[],def://src/main/java/org/jeecgframework/web/system/controller/core/NoticeController.java[]//goUpdate/req.setAttribute[]//rolesName[]
use://src/main/webapp/webpage/system/organzation/myDepartUserList.jsp[]//html/body/div/div/t:datagrid/t:dgdelopt/url[]//${departid }[],def://src/main/java/org/jeecgframework/web/system/controller/core/OrganzationController.java[]//myUserOrgList/request.setAttribute[]//departid[]
def://src/main/java/com/jeecg/demo/controller/JformOrderMainController.java[]//goUpdate/return/ModelAndView[]//com\/jeecg\/demo\/orderOne2Many\/jformOrderMain-update[],def://src/main/webapp/webpage/com/jeecg/demo/orderOne2Many/jformOrderMain-update.jsp[]
def://src/main/java/org/jeecgframework/web/system/sms/controller/TSSmsSqlController.java[]//tSSmsSql/return/ModelAndView[]//system\/sms\/tSSmsSqlList[],def://src/main/webapp/webpage/system/sms/tSSmsSqlList.jsp[]
def://src/main/java/org/jeecgframework/web/superquery/controller/SuperQueryMainController.java[]//superQueryFieldList/return/ModelAndView[]//jeecg\/superquery\/superQueryFieldList[],def://src/main/webapp/webpage/jeecg/superquery/superQueryFieldList.jsp[]
use://src/main/webapp/webpage/common/upload/pub_excel_upload.jsp[]//html/body/t:formvalid/fieldset/div/t:upload/uploader[]//${controller_name}[],def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//upload/req.setAttribute[]//controller_name[]
use://src/main/webapp/webpage/common/upload/pub_excel_upload.jsp[]//html/body/t:formvalid/fieldset/div/t:upload/uploader[]//${controller_name}[],def://src/main/java/org/jeecgframework/web/system/controller/core/DepartController.java[]//uploadDepart/req.setAttribute[]//controller_name[]
def://src/main/java/com/jeecg/demo/controller/JeecgFormDemoController.java[]//plupload/return/ModelAndView[]//com\/jeecg\/demo\/plupload\/plupload1[],def://src/main/webapp/webpage/com/jeecg/demo/plupload/plupload1.jsp[]
use://src/main/webapp/webpage/system/position/tSCompanyPositionList.jsp[]//html/body/div/div/t:datagrid/actionurl[]//${companyId }[],def://src/main/java/org/jeecgframework/web/system/controller/core/TSCompanyPositionController.java[]//list/request.setAttribute[]//companyId[]
def://src/main/java/com/jeecg/demo/controller/JeecgFormDemoController.java[]//tabDemo/return/ModelAndView[]//com\/jeecg\/demo\/tabDemo[],def://src/main/webapp/webpage/com/jeecg/demo/tabDemo.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//BarGraph1/return/ModelAndView[]//com\/jeecg\/demo\/echartsDemo\/BarGraph1[],def://src/main/webapp/webpage/com/jeecg/demo/echartsDemo/BarGraph1.jsp[]
def://src/main/java/org/jeecgframework/web/black/controller/TsBlackListController.java[]//upload/return/ModelAndView[]//common\/upload\/pub_excel_upload[],def://src/main/webapp/webpage/common/upload/pub_excel_upload.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//vueBootstrapTableEdit/return/ModelAndView[]//com\/jeecg\/demo\/vueBootstrapTableEdit[],def://src/main/webapp/webpage/com/jeecg/demo/vueBootstrapTableEdit.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/LoginController.java[]//noAuth/return/ModelAndView[]//common\/noAuth[],def://src/main/webapp/webpage/common/noAuth.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgFormDemoController.java[]//eSignDemo/return/ModelAndView[]//com\/jeecg\/demo\/zsign[],def://src/main/webapp/webpage/com/jeecg/demo/zsign.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/FunctionController.java[]//operation/return/ModelAndView[]//system\/operation\/operationList[],def://src/main/webapp/webpage/system/operation/operationList.jsp[]
